nombre,sexo,fecha_nacimiento,fecha_medicion,edad_meses,peso_kg,talla_cm,fecha_nac_exacta,fuente_archivo
Go Dawg,H,2015-02-15,2015-06-15,4,199.0,132.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2015-08-15,6,247.0,135.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2015-09-15,7,248.0,138.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2015-10-15,8,259.0,141.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2015-11-15,9,272.0,142.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2015-12-15,10,287.0,142.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-01-15,11,297.0,144.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-02-15,12,301.0,146.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-03-15,13,322.0,146.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-04-15,14,331.0,151.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-05-15,15,360.0,152.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-06-15,16,388.0,152.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-07-15,17,409.0,155.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-08-15,18,428.0,155.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-09-15,19,435.0,155.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-10-15,20,457.0,155.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-11-15,21,441.0,154.0,True,PESOS POTROS 2015.xlsx
Go Dawg,H,2015-02-15,2016-12-15,22,450.0,156.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2015-12-15,9,240.0,140.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-01-15,10,251.0,140.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-02-15,11,258.0,143.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-03-15,12,276.0,143.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-04-15,13,295.0,147.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-05-15,14,325.0,147.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-06-15,15,345.0,148.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-07-15,16,368.0,152.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-08-15,17,384.0,153.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-09-15,18,398.0,153.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-10-15,19,403.0,154.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-11-15,20,403.0,157.0,True,PESOS POTROS 2015.xlsx
Life Again,H,2015-03-12,2016-12-15,21,410.0,157.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2015-06-15,2,120.0,121.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2015-08-15,4,165.0,128.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2015-09-15,5,198.0,128.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2015-10-15,6,220.0,134.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2015-11-15,7,229.0,135.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2015-12-15,8,239.0,136.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-01-15,9,246.0,137.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-02-15,10,260.0,142.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-03-15,11,292.0,142.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-04-15,12,302.0,145.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-05-15,13,316.0,146.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-06-15,14,344.0,147.0,True,PESOS POTROS 2015.xlsx
Mystic Whirl,H,2015-04-17,2016-07-15,15,360.0,152.0,True,PESOS POTROS 2015.xlsx
