sexo,edad_meses,n,p10,p25,p50,p75,p90
M,0,101,50.0,51.0,56.0,60.0,64.0
M,1,96,81.5,90.0,100.0,110.0,117.0
M,2,93,116.2,125.0,134.0,146.0,152.0
M,3,99,148.0,155.5,170.0,180.0,187.2
M,4,100,181.0,191.8,201.5,214.0,221.6
M,5,102,207.0,221.0,232.5,240.8,252.0
M,6,100,225.8,237.8,246.0,256.0,266.0
M,7,102,242.1,258.2,271.0,281.0,292.0
M,8,102,261.1,275.0,291.5,301.0,308.9
M,9,104,277.3,288.8,306.5,319.0,324.7
M,10,104,286.3,300.8,318.0,334.0,345.7
M,11,103,300.0,313.0,332.0,345.0,354.8
M,12,101,314.0,325.0,340.0,358.0,374.0
M,13,102,324.2,340.0,353.5,371.5,388.0
M,14,96,344.0,356.0,370.5,388.0,404.5
M,15,99,358.8,375.0,394.0,408.0,422.6
M,16,98,376.4,393.0,406.0,423.5,443.5
M,17,98,395.7,410.5,422.0,443.8,461.3
M,18,93,407.2,425.0,444.0,462.0,482.8
M,19,88,421.7,439.0,454.0,472.2,499.3
M,20,69,426.8,443.0,463.0,482.0,513.0
M,21,53,425.8,446.0,465.0,485.0,505.6
M,22,31,428.0,467.0,478.0,490.5,510.0
M,23,8,365.1,417.0,478.5,495.2,524.2
H,0,93,46.4,52.0,56.0,59.0,61.8
H,1,92,86.1,93.0,102.0,110.0,119.9
H,2,95,115.0,125.0,136.0,145.5,155.0
H,3,95,145.2,156.0,171.0,182.5,190.6
H,4,102,176.1,190.0,202.0,213.8,222.9
H,5,100,201.0,217.5,231.5,240.0,250.2
H,6,99,216.8,233.5,245.0,256.5,266.0
H,7,102,239.3,252.2,267.0,280.0,290.0
H,8,102,258.1,271.0,284.0,296.8,306.9
H,9,103,270.2,282.5,299.0,313.0,323.8
H,10,103,283.0,294.0,312.0,327.0,340.0
H,11,96,292.5,305.0,321.5,339.2,355.5
H,12,98,304.1,319.0,331.5,349.5,363.3
H,13,95,320.0,330.0,345.0,362.0,374.0
H,14,88,330.1,344.8,368.5,383.0,396.6
H,15,88,343.4,362.2,386.5,403.2,421.3
H,16,87,368.0,383.0,402.0,424.5,440.2
H,17,87,389.0,400.0,417.0,437.5,453.2
H,18,82,398.0,416.0,434.5,452.8,466.9
H,19,76,407.0,424.8,444.0,463.2,474.0
H,20,61,420.0,435.0,448.0,470.0,486.0
H,21,36,422.0,436.5,451.0,468.2,487.5
H,22,27,424.6,441.5,451.0,468.0,488.2
H,23,11,414.0,437.0,467.0,489.5,501.0
