sexo,edad_meses,n,p10,p25,p50,p75,p90
M,1,96,105.5,109.0,111.0,113.0,115.0
M,2,93,115.0,116.0,118.0,120.0,123.0
M,3,99,119.0,121.0,123.0,125.0,127.2
M,4,100,125.0,126.0,128.0,129.2,132.0
M,5,102,127.1,130.0,131.0,133.8,135.0
M,6,100,129.0,132.0,134.0,135.0,137.0
M,7,102,132.0,134.0,135.5,138.0,139.0
M,8,102,133.0,136.0,137.5,140.0,141.0
M,9,104,135.0,137.8,139.0,141.0,143.0
M,10,104,137.3,139.0,141.0,143.0,144.0
M,11,103,139.0,141.0,143.0,144.0,146.0
M,12,101,141.0,142.0,144.0,146.0,147.0
M,13,102,141.1,143.0,146.0,148.0,149.0
M,14,96,144.0,145.0,147.5,150.0,151.0
M,15,99,144.0,147.0,149.0,151.0,152.0
M,16,98,146.0,148.0,150.0,152.0,153.0
M,17,98,147.0,149.0,152.0,153.0,155.0
M,18,93,148.0,150.0,153.0,155.0,156.0
M,19,88,148.7,150.8,153.0,155.2,157.0
M,20,69,149.8,152.0,154.0,156.0,157.0
M,21,53,150.0,152.0,154.0,156.0,158.0
M,22,31,150.0,153.0,156.0,157.9,159.0
M,23,8,143.7,151.5,158.0,159.2,160.6
H,1,92,106.0,109.0,112.0,114.0,115.9
H,2,95,112.0,116.0,118.0,121.0,122.0
H,3,95,118.4,121.0,123.0,125.0,126.6
H,4,102,123.1,125.0,127.0,130.0,131.0
H,5,100,127.0,128.8,130.0,133.0,135.0
H,6,99,129.6,131.0,133.0,135.0,136.2
H,7,102,132.0,133.0,135.0,137.0,139.0
H,8,102,133.0,135.0,136.0,138.0,140.0
H,9,103,135.0,137.0,138.0,140.0,142.0
H,10,103,137.0,138.5,140.0,142.0,144.0
H,11,96,139.0,140.0,141.0,143.0,145.5
H,12,98,139.7,141.0,143.0,145.0,147.0
H,13,95,141.4,143.0,145.0,147.0,148.6
H,14,88,143.0,144.8,146.0,148.0,151.0
H,15,88,144.0,145.8,148.0,150.0,152.0
H,16,87,145.6,147.0,149.0,151.5,153.4
H,17,87,146.0,148.0,150.0,153.0,154.4
H,18,82,148.0,149.0,151.0,153.0,155.0
H,19,76,149.0,150.8,152.0,154.0,156.5
H,20,61,149.0,151.0,152.0,155.0,157.0
H,21,36,150.0,152.0,153.5,155.0,157.0
H,22,27,150.0,152.0,154.0,156.0,157.4
H,23,11,149.0,152.0,154.0,157.0,157.0
